ROASTER,ROAST,LOC_COUNTRY,ORIGIN,100G_USD,RATING
Revel Coffee,Medium-Light,United States,Ethiopia,4.7,0.6153846153846154
Roast House,Medium-Light,United States,Ethiopia,4.19,0.6153846153846154
Big Creek Coffee Roasters,Medium,United States,Ethiopia,4.85,0.7692307692307693
Red Rooster Coffee Roaster,Light,United States,Ethiopia,5.14,0.6923076923076923
Willoughby's Coffee & Tea,Medium-Light,United States,Ethiopia,3.97,0.6923076923076923
Black Oak Coffee Roasters,Medium-Light,United States,Ethiopia,5.14,0.6923076923076923
Wonderstate Coffee,Medium-Light,United States,Ethiopia,5.29,0.6923076923076923
Reunion Island Coffee,Medium,Canada,Ethiopia,3.76,0.7692307692307693
Old Soul Co.,Medium,United States,Ethiopia,5.73,0.46153846153846156
A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,0.6153846153846154
A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,0.5384615384615384
Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,0.6923076923076923
Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,33.05,1.0
Kakalove Cafe,Medium-Light,Taiwan,Kenya,4.6,0.8461538461538461
Jackrabbit Java,Medium-Dark,United States,Kenya,5.29,0.6153846153846154
Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,3.89,0.8461538461538461
Propeller Coffee,Medium-Light,Canada,Kenya,4.65,0.7692307692307693
Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5.58,0.6923076923076923
Lexington Coffee Roasters,Medium-Light,United States,Kenya,5.86,0.6923076923076923
Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.41,0.6153846153846154
Noble Coffee Roasting,Light,United States,Ethiopia,5.58,0.6923076923076923
Ben's Beans,Medium-Light,United States,Ethiopia,4.98,0.6153846153846154
Espresso Republic,Medium,United States,Colombia,4.98,0.38461538461538464
Roast House,Medium-Light,United States,Ethiopia,7.35,0.6923076923076923
Good Folks Coffee,Medium-Light,United States,Kenya,6.47,0.8461538461538461
Flight Coffee Co.,Medium-Light,United States,Kenya,4.41,0.7692307692307693
