ROASTER,ROAST,LOC_COUNTRY,ORIGIN,100G_USD,RATING
227,4,11,9,68,7
230,4,11,9,49,7
25,2,11,9,74,9
223,1,11,9,87,8
296,4,11,9,39,8
32,4,11,9,87,8
297,4,11,9,92,8
226,2,1,9,34,9
191,2,11,9,108,5
3,4,6,9,139,7
3,4,6,9,139,6
200,4,11,9,91,8
128,4,5,11,314,12
144,4,10,14,62,10
134,3,11,14,92,7
144,4,10,9,36,10
214,4,1,14,65,9
57,1,11,10,104,8
156,4,11,14,112,8
25,4,11,9,56,7
182,1,11,9,104,8
24,4,11,9,81,7
100,2,11,3,81,4
230,4,11,9,151,8
116,4,11,14,129,10
105,4,11,14,56,9
119,1,10,9,172,9
296,4,11,18,257,11
98,4,11,18,313,9
128,4,5,11,275,10
148,4,11,14,112,10
200,4,11,3,81,8
142,4,5,11,236,8
249,2,10,9,272,8
198,4,11,18,304,10
198,1,11,18,271,8
122,4,5,11,237,7
57,1,11,10,83,8
18,1,11,17,91,9
100,4,11,14,151,7
282,4,11,14,144,6
180,2,11,9,44,5
132,4,11,9,101,10
115,4,10,9,338,8
115,4,10,9,338,8
142,4,5,11,236,5
223,1,11,9,82,9
164,1,11,3,83,7
29,4,11,18,292,10
3,4,6,13,165,7
278,1,11,18,297,10
278,4,11,9,104,7
249,3,10,9,192,10
282,2,11,9,144,7
227,4,11,14,60,7
144,1,10,9,50,8
144,1,10,9,62,9
223,1,11,19,74,8
91,4,11,10,63,9
132,4,11,3,63,8
91,2,11,21,81,8
18,1,11,9,180,11
18,2,11,16,180,5
50,4,11,4,151,6
139,4,1,9,19,7
27,1,11,14,56,9
51,4,11,9,45,8
144,1,10,9,37,8
175,2,11,21,51,7
128,2,5,11,275,10
200,4,11,9,91,9
223,4,11,9,74,8
200,4,11,7,119,8
118,4,11,14,83,8
285,1,11,9,113,8
29,4,11,3,292,10
231,1,10,9,130,9
198,2,11,3,260,10
132,4,11,9,101,9
132,4,11,3,63,8
144,4,10,18,234,9
102,4,10,9,77,7
144,4,10,18,238,9
100,4,11,13,113,6
254,4,11,1,132,7
63,1,10,9,79,9
87,4,11,18,315,10
87,4,11,18,333,10
205,4,11,9,108,8
172,2,11,14,91,9
128,4,5,11,278,9
6,4,11,9,92,8
237,4,5,11,232,8
34,4,11,9,83,8
87,4,11,5,92,9
119,2,10,14,138,7
81,4,10,14,186,7
87,4,11,3,250,10
156,4,11,3,74,7
63,4,10,14,107,7
25,4,11,1,60,6
183,4,11,1,105,6
187,4,11,1,92,6
14,4,10,1,114,5
191,4,11,1,92,8
10,4,10,1,16,8
68,4,11,1,60,7
280,4,10,9,175,8
178,4,10,2,190,7
25,4,11,21,60,5
194,4,11,2,57,8
119,4,10,2,194,7
144,4,10,2,93,7
51,2,11,2,56,8
223,1,11,9,104,9
252,1,10,9,107,8
144,1,10,9,32,9
162,4,11,4,92,9
252,4,10,9,284,10
273,3,10,9,115,10
91,2,11,4,81,10
264,4,11,9,92,8
264,4,11,10,92,8
100,4,11,19,43,7
100,4,11,19,43,5
278,4,11,14,121,8
278,4,11,4,116,6
102,2,10,14,105,7
144,4,10,9,36,9
71,2,10,10,94,7
119,2,10,9,167,10
156,4,11,9,103,8
79,4,3,18,340,9
200,4,11,10,23,8
132,4,11,14,108,9
254,4,11,10,113,7
254,4,11,3,113,6
198,4,11,3,141,8
6,4,11,4,92,7
18,1,11,14,229,10
18,4,11,13,229,7
87,4,11,9,92,9
87,4,11,9,92,9
144,4,10,10,36,9
27,4,11,9,92,8
25,4,11,9,68,8
27,4,11,9,92,9
25,4,11,9,68,8
25,4,11,10,56,7
118,4,11,9,92,8
227,4,11,9,83,8
278,4,11,9,87,9
278,4,11,14,116,9
132,4,11,9,101,10
132,4,11,9,101,8
132,4,11,3,63,6
132,4,11,14,108,9
278,4,11,14,108,9
132,4,11,14,108,9
87,4,11,18,315,11
227,4,11,14,76,9
51,4,11,9,39,8
180,2,11,14,23,8
270,4,11,14,113,8
